parcel_number,matched,latitude,longitude,census_tract
371220000,True,39.992322374104,-75.150629948553,42101016500
451438400,True,39.995003310106,-75.098233191503,42101038200
888020833,True,39.937951619541,-75.148660813629,42101001700
561365100,True,40.056866881885,-75.066751379039,42101033500
884151075,True,39.902325875645,-75.154946810054,42101980701
21083400,True,39.936450195771,-75.154101020678,42101002400
482267000,True,39.92865581599,-75.18495020928,42101003701
391354900,True,39.915090990717,-75.152953615408,42101004202
21267600,True,39.934037081084,-75.157622136985,42101002400
521305001,True,39.984984014639,-75.227799162849,42101011900
332271600,True,40.00829227826,-75.105973156918,42101019100
71353200,True,39.995760697225,-75.128456609249,42101017602
541132600,True,40.03790438373,-75.06786081707,42101031300
451283000,True,39.987383589791,-75.100067270979,42101037900
131278205,True,40.009685443093,-75.159385092536,42101020200
311200310,True,39.985420139777,-75.122114140697,42101016100
331124000,True,39.999161547473,-75.116142129258,42101019200
874552800,True,39.97996063406,-75.137236845757,42101015700
406211800,True,39.917061205733,-75.238829277395,42101006000
481002500,True,39.928303969025,-75.171411187759,42101003001
364348200,True,39.934034312104,-75.191202155868,42101003300
402188200,True,39.924583994771,-75.228863189383,42101006700
884349670,True,39.988536609064,-75.101019470244,42101037900
211287000,True,40.022012008234,-75.213722745981,42101021000
361174200,True,39.935570495709,-75.175527927831,42101002100
441070200,True,39.961618909928,-75.221415566058,42101009300
221183200,True,40.055760769861,-75.179958496097,42101025300
502220900,True,40.070295462956,-75.164982195965,42101026301
884349669,True,39.988513319566,-75.10106378981,42101037900
493144300,True,40.041456379745,-75.140403722659,42101027600
881059016,True,40.023344327904,-75.164057269212,42101024400
243119700,True,39.967930246127,-75.198757395442,42101010800
402027300,True,39.928460556721,-75.22073104597,42101006700
151277700,True,39.968884406917,-75.179883843548,42101013601
214055800,True,40.0512472596,-75.231644266823,42101021800
871507040,True,39.946314842322,-75.240051582718,42101008200
191076000,True,39.985308005071,-75.134681827632,42101016300
531169600,True,40.044366225116,-75.080493029317,42101031101
482317800,True,39.923052319718,-75.187174176177,42101003600
602106800,True,39.954781319135,-75.227067732464,42101008500
131167600,True,40.011886373992,-75.153238622463,42101020102
342148100,True,39.973595449784,-75.238176250258,42101010100
281352700,True,39.995736320417,-75.172934530785,42101016901
172391700,True,40.042974483467,-75.154564393031,42101027901
392117800,True,39.921048279295,-75.154139738223,42101004201
514039500,True,39.938012388924,-75.227028442307,42101007101
592251700,True,40.04765664178,-75.176925141881,42101025200
652389400,True,40.050489020662,-74.995541179065,42101035200
344023500,True,39.974446428994,-75.252983851328,42101010000
162116700,True,39.989501985245,-75.16467050304,42101016800
871507050,True,39.946302916806,-75.240053859408,42101008200
482297900,True,39.923738802617,-75.185970859478,42101003702
172412800,True,40.0417315178,-75.155253985304,42101027902
321082100,True,39.98375588976,-75.158426641764,42101015300
302140500,True,39.944565980724,-75.177172076055,42101001302
62246400,True,39.969450282488,-75.205730116246,42101010700
572227200,True,40.061451555827,-75.01616832636,42101034802
888093790,True,39.948318503634,-75.164919640907,42101000806
251248900,True,39.983116797205,-75.105946388985,42101018002
402270600,True,39.921406227143,-75.225215383626,42101006700
232149400,True,40.014146434378,-75.079023873359,42101030000
871181650,True,39.917060288668,-75.168643861866,42101004002
501003000,True,40.06368806149,-75.154314098712,42101026302
301286400,True,39.942852266215,-75.168234176742,42101001400
54247400,True,39.946712878195,-75.157049195676,42101000902
604104800,True,39.953859843108,-75.232792197878,42101008102
884462355,True,40.000861291557,-75.119484161007,42101019200
394107000,True,39.920003123831,-75.165961103486,42101004002
551254200,True,40.037708911662,-75.057354322776,42101031502
171157700,True,40.043482706653,-75.148821629096,42101027800
491470800,True,40.022935534095,-75.145117504084,42101028300
313052800,True,39.977866047827,-75.127194378136,42101016002
433405500,True,40.015768140482,-75.14974532697,42101020300
421281000,True,40.018488155435,-75.124421512656,42101028800
888061964,True,39.961481984949,-75.136266755942,42101036600
412152500,True,40.036176351085,-75.036466020339,42101033000
223134500,True,40.054320988979,-75.191625125369,42101023700
324033800,True,39.981429329879,-75.182588799,42101014900
551378165,True,40.038819793833,-75.052557551704,42101031502
406131700,True,39.916107303914,-75.235369410154,42101006200
71423100,True,39.992144124977,-75.125082522692,42101017702
71562800,True,39.990795535818,-75.12388026066,42101017702
642050400,True,40.043077943478,-75.02909781738,42101033102
302236800,True,39.941099395804,-75.183391586457,42101001301
314252900,True,39.982925004137,-75.118705833034,42101016002
41318800,True,39.979016633761,-75.23235677595,42101011300
401346400,True,39.926578657747,-75.231458699273,42101006600
41145450,True,39.970522311302,-75.229687817307,42101010200
885235900,True,39.987605968559,-75.11573041135,42101017900
21496200,True,39.934592802548,-75.157814079906,42101002300
402075100,True,39.9243664992,-75.223677008615,42101006700
442307800,True,39.967226116755,-75.225873987291,42101010300
51178400,True,39.943274400389,-75.146254503567,42101001002
111026700,True,39.996613621413,-75.163084197171,42101017300
871298190,True,39.987222639208,-75.156149338101,42101016702
291081100,True,39.976207194587,-75.17582442635,42101013800
391270200,True,39.923692072366,-75.149444686149,42101004201
403056600,True,39.923070375534,-75.236917138146,42101006300
663226200,True,40.098041223545,-74.976400510944,42101036303
882928820,True,40.048753193688,-75.01222059929,42101034900
592076300,True,40.047012402178,-75.172528449338,42101025200
