objectid,parcelcount,buildvaccount,buildvacpercentage,date_update,Shape__Area,Shape__Length
1731,47,0,0,2025/07/07 00:00:00+00,8606.66015625,504.670280932615
1732,64,0,0,2025/07/07 00:00:00+00,10205.97265625,908.973509164155
1733,26,0,0,2025/07/07 00:00:00+00,9342.32421875,515.373480889684
1734,13,0,0,2025/07/07 00:00:00+00,1929.6171875,213.509699157366
1735,70,0,0,2025/07/07 00:00:00+00,8455.84375,806.091132759831
1736,28,0,0,2025/07/07 00:00:00+00,3941.4296875,361.082283418656
1737,24,0,0,2025/07/07 00:00:00+00,2059.33984375,285.592896354725
1738,52,0,0,2025/07/07 00:00:00+00,13274.7578125,524.40255281038
1739,56,1,0.02,2025/07/07 00:00:00+00,25049.54296875,735.855509874421
1740,40,0,0,2025/07/07 00:00:00+00,19075.4296875,587.069244216028
1741,23,16,0.7,2025/07/07 00:00:00+00,12578.44921875,449.493173316806
1742,17,0,0,2025/07/07 00:00:00+00,15517.3046875,498.233974926079
1743,19,0,0,2025/07/07 00:00:00+00,10617.83984375,425.681843819835
1744,25,0,0,2025/07/07 00:00:00+00,17585.9375,657.727519730533
1745,75,0,0,2025/07/07 00:00:00+00,19940.62890625,1016.07357598832
1746,41,1,0.02,2025/07/07 00:00:00+00,17409.8125,631.526850551589
1747,46,0,0,2025/07/07 00:00:00+00,14892,497.374952590251
1748,34,0,0,2025/07/07 00:00:00+00,4684.76171875,428.694809079865
1749,32,0,0,2025/07/07 00:00:00+00,5699.61328125,455.319073083959
1750,34,0,0,2025/07/07 00:00:00+00,5522.58984375,317.660513914406
1751,22,0,0,2025/07/07 00:00:00+00,3590.37109375,325.917724350998
1752,62,0,0,2025/07/07 00:00:00+00,11525,638.366858647337
1753,8,0,0,2025/07/07 00:00:00+00,1790.23046875,172.703597216678
1754,48,1,0.02,2025/07/07 00:00:00+00,6371.0078125,605.600593911458
1755,21,0,0,2025/07/07 00:00:00+00,3665.0625,381.681214618727
1756,68,1,0.01,2025/07/07 00:00:00+00,42673.66015625,1231.78691098357
1757,46,0,0,2025/07/07 00:00:00+00,6211.76953125,391.389473273182
1758,63,0,0,2025/07/07 00:00:00+00,32375.2265625,1007.45348082537
1759,55,0,0,2025/07/07 00:00:00+00,13235.3203125,523.136115391814
1760,66,0,0,2025/07/07 00:00:00+00,22455.21875,688.207831138465
1761,71,0,0,2025/07/07 00:00:00+00,22399.59765625,692.518466631931
1762,69,0,0,2025/07/07 00:00:00+00,19885.734375,742.025898218569
